Operon	Start	Stop	Length	Orientation	Average operon coverage	Number of genes in operon	Genes in operon
MT0128	145618	147762	2144	-	18.0	1	MT0128
MT0129	147899	148333	434	-	30.2	1	MT0129
MT0130(not expressed)	148443	148862	419	-	NOT EXPRESSED		
MT0131	148847	149215	368	+	33.7	1	MT0131
MT0132(not expressed)	149482	151167	1685	+	NOT EXPRESSED		
MT0133-MT0136	151319	156617	5298	+	29.8	4	MT0133, MT0134, MT0135, MT0136
MT0138(not expressed)	158018	158473	455	+	NOT EXPRESSED		
MT0137	156749	157789	1040	-	284.3	1	MT0137
MT0139	158486	159829	1343	-	18.7	1	MT0139
MT0140(not expressed)	159871	160953	1082	-	NOT EXPRESSED		
MT0141-MT0142	161040	162844	1804	+	50.0	2	MT0141, MT0142
MT0143	162815	163420	605	-	69.9	1	MT0143
MT0144	163537	164862	1325	+	27.0	1	MT0144
MT0146-MT0147	165494	167020	1526	+	15.9	2	MT0146, MT0147
MT0145	164883	165431	548	-	59.9	1	MT0145
MT0149	167442	167852	410	-	155.7	1	MT0149
MT0148-MT0150	167081	168808	1727	+	60.9	2	MT0148, MT0150
MT0151	168875	170353	1478	-	34.0	1	MT0151
MT0158(not expressed)	176836	177123	287	-	NOT EXPRESSED		
MT0152-MT0157	170455	176839	6384	+	113.1	6	MT0152, MT0153, MT0154, MT0155, MT0156, MT0157
MT0159(not expressed)	177559	177684	125	+	NOT EXPRESSED		
MT0160(not expressed)	177714	179480	1766	-	NOT EXPRESSED		
MT0161(not expressed)	179490	181091	1601	-	NOT EXPRESSED		
MT0162-MT0163	181326	183381	2055	-	58.7	2	MT0162, MT0163
MT0168(not expressed)	187601	189007	1406	-	NOT EXPRESSED		
MT0165-MT0167	185220	187597	2377	+	52.1	2	MT0165, MT0167
MT0169(not expressed)	189099	190607	1508	-	NOT EXPRESSED		
MT0171	192153	193304	1151	-	16.8	1	MT0171
MT0177(not expressed)	197778	198455	677	-	NOT EXPRESSED		
MT0172-MT0187	193286	209784	16498	+	146.3	14	MT0172, MT0173, MT0175, MT0176, MT0178, MT0179, MT0180, MT0181, MT0182, MT0183, MT0184, MT0185, MT0186, MT0187
MT0188-MT0191	209815	214252	4437	-	74.2	4	MT0188, MT0189, MT0190, MT0191
MT0192-MT0195	214068	218456	4388	+	39.1	4	MT0192, MT0193, MT0194, MT0195
MT0197	218823	219479	656	+	26.9	1	MT0197
MT0198	219598	220029	431	+	229.6	1	MT0198
MT0196-MT0199	218502	221835	3333	-	231.4	2	MT0196, MT0199
MT0203(not expressed)	224836	226662	1826	-	NOT EXPRESSED		
MT0200-MT0202	221983	224776	2793	+	65.6	3	MT0200, MT0201, MT0202
MT0204(not expressed)	226849	230574	3725	+	NOT EXPRESSED		
MT0204.1(not expressed)	230593	230742	149	+	NOT EXPRESSED		
MT0205(not expressed)	230876	231646	770	+	NOT EXPRESSED		
MT0206-MT0207	231759	234589	2830	+	18.0	2	MT0206, MT0207
MT0208	234630	236621	1991	-	77.3	1	MT0208
MT0209-MT0210	236775	238009	1234	+	35.4	2	MT0209, MT0210
MT0211-MT0212	238006	241406	3400	-	53.3	2	MT0211, MT0212
MT0213	241628	242038	410	+	60.7	1	MT0213
MT0214	242090	243328	1238	-	37.0	1	MT0214
MT0215	243498	244601	1103	+	15.4	1	MT0215
MT0219(not expressed)	249152	250237	1085	+	NOT EXPRESSED		
MT0216-MT0218	244598	249020	4422	-	76.8	3	MT0216, MT0217, MT0218
MT0220(not expressed)	250267	251712	1445	+	NOT EXPRESSED		
MT0221	251896	253716	1820	+	134.3	1	MT0221
MT0222-MT0223	253783	256064	2281	-	15.7	2	MT0222, MT0223
MT0224	256178	257791	1613	+	14.8	1	MT0224
MT0226(not expressed)	259027	260040	1013	+	NOT EXPRESSED		
MT0225	257897	259018	1121	-	13.2	1	MT0225
MT0228(not expressed)	261038	262366	1328	+	NOT EXPRESSED		
MT0227	260037	260858	821	-	14.9	1	MT0227
MT0229(not expressed)	262368	262916	548	+	NOT EXPRESSED		
MT0233	266415	267878	1463	-	11.3	1	MT0233
MT0234(not expressed)	267977	268741	764	-	NOT EXPRESSED		
MT0230-MT0232	262926	266409	3483	+	79.7	3	MT0230, MT0231, MT0232
MT0235	268777	269931	1154	+	41.2	1	MT0235
MT0236-MT0237	269948	272953	3005	-	53.0	2	MT0236, MT0237
MT0238	273253	274392	1139	+	13.6	1	MT0238
MT0241	276172	277878	1706	+	17.4	1	MT0241
MT0239-MT0240	274420	276134	1714	-	33.1	2	MT0239, MT0240
MT0245	279719	281122	1403	-	65.8	1	MT0245
MT0242-MT0244	278013	279643	1630	+	66.6	2	MT0242, MT0244
MT0246-MT0250	281280	287560	6280	-	74.5	3	MT0246, MT0247, MT0250
MT0251-MT0254	287300	289896	2596	+	147.5	4	MT0251, MT0252, MT0253, MT0254
MT0255-MT0256	289926	292143	2217	-	94.0	2	MT0255, MT0256
MT0257	292285	293607	1322	+	119.4	1	MT0257
MT0259	296120	296608	488	+	63.7	1	MT0259
MT0258	293913	295748	1835	-	11.9	1	MT0258
MT0261-MT0264	298231	302083	3852	-	165.4	4	MT0261, MT0262, MT0263, MT0264
MT0260	296885	298234	1349	+	14.5	1	MT0260
MT0266(not expressed)	302981	305542	2561	+	NOT EXPRESSED		
MT0265	302288	302767	479	-	77.6	1	MT0265
MT0267-MT0271	305940	310864	4924	-	54.9	5	MT0267, MT0268, MT0269, MT0270, MT0271
MT0272(not expressed)	310889	311632	743	-	NOT EXPRESSED		
MT0270.1-MT0270.2	309814	310393	579	+	15.2	2	MT0270.1, MT0270.2
MT0273(not expressed)	311629	312774	1145	-	NOT EXPRESSED		
MT0274(not expressed)	312874	314283	1409	-	NOT EXPRESSED		
MT0280(not expressed)	321445	322836	1391	+	NOT EXPRESSED		
MT0275-MT0278	314424	317618	3194	-	51.2	4	MT0275, MT0276, MT0277, MT0278
MT0281	322878	323387	509	-	211.0	1	MT0281
MT0282	323452	324636	1184	-	15.8	1	MT0282
MT0283	324681	326363	1682	+	242.0	1	MT0283
MT0284-MT0286	326380	330439	4059	-	95.0	3	MT0284, MT0285, MT0286
MT0286.1	330494	331117	623	+	259.0	1	MT0286.1
MT0287	331047	331772	725	-	259.0	1	MT0287
MT0289-MT0290	332822	333447	625	-	354.3	2	MT0289, MT0290
MT0291(not expressed)	333551	336268	2717	-	NOT EXPRESSED		
MT0288	331862	332782	920	+	339.1	1	MT0288
MT0291.1(not expressed)	336255	336410	155	+	NOT EXPRESSED		
MT0291.2(not expressed)	336394	336525	131	-	NOT EXPRESSED		
MT0291.3(not expressed)	336656	336850	194	-	NOT EXPRESSED		
MT0291.4(not expressed)	337082	338878	1796	+	NOT EXPRESSED		
MT0292(not expressed)	339309	341036	1727	+	NOT EXPRESSED		
MT0294	342048	342155	107	-	69.0	1	MT0294
MT0293-MT0305	341060	356937	15877	+	103.4	12	MT0293, MT0295, MT0296, MT0297, MT0298, MT0299, MT0300, MT0301, MT0302, MT0303, MT0304, MT0305
MT0307(not expressed)	358233	359018	785	+	NOT EXPRESSED		
MT0306	356924	358126	1202	-	142.9	1	MT0306
MT0308-MT0310	359007	361217	2210	-	30.7	2	MT0308, MT0310
MT0318(not expressed)	366212	375772	9560	-	NOT EXPRESSED		
MT0311-MT0316	361303	366204	4901	+	28.6	6	MT0311, MT0312, MT0313, MT0314, MT0315, MT0316
MT0319(not expressed)	375975	376646	671	+	NOT EXPRESSED		
MT0320	376634	377116	482	-	23.5	1	MT0320
MT0323(not expressed)	378718	379209	491	-	NOT EXPRESSED		
MT0321-MT0322	377174	378648	1474	+	303.6	2	MT0321, MT0322
MT0324-MT0327	379233	382937	3704	+	181.6	4	MT0324, MT0325, MT0326, MT0327
MT0328.1	383070	383315	245	+	14.3	1	MT0328.1
MT0329	383662	384546	884	+	48.4	1	MT0329
MT0330(not expressed)	384595	385209	614	+	NOT EXPRESSED		
MT0328-MT0328.2	382940	383601	661	-	116.9	2	MT0328, MT0328.2
MT0332	385233	385970	737	-	65.3	1	MT0332
MT0333(not expressed)	386365	387141	776	-	NOT EXPRESSED		
MT0334	387208	387876	668	+	22.0	1	MT0334
MT0335(not expressed)	387948	388610	662	+	NOT EXPRESSED		
MT0336	388642	389214	572	+	19.1	1	MT0336
MT0337(not expressed)	389320	390651	1331	+	NOT EXPRESSED		
MT0338(not expressed)	390640	391311	671	-	NOT EXPRESSED		
MT0339(not expressed)	391412	392092	680	+	NOT EXPRESSED		
MT0340	392099	392323	224	+	28.3	1	MT0340
MT0341(not expressed)	392333	392788	455	+	NOT EXPRESSED		
MT0342(not expressed)	392756	394105	1349	-	NOT EXPRESSED		
MT0344(not expressed)	394754	395380	626	-	NOT EXPRESSED		
MT0343	394171	394773	602	+	44.5	1	MT0343
MT0345(not expressed)	395407	396147	740	-	NOT EXPRESSED		
MT0346(not expressed)	396261	397427	1166	+	NOT EXPRESSED		
MT0347(not expressed)	397639	398628	989	-	NOT EXPRESSED		
MT0349(not expressed)	399595	400110	515	-	NOT EXPRESSED		
MT0348	398718	399584	866	+	31.4	1	MT0348
MT0351-MT0352	401933	405901	3968	-	114.2	2	MT0351, MT0352
MT0350	400252	401763	1511	+	96.5	1	MT0350
MT0355	408694	409233	539	+	54.0	1	MT0355
MT0353	406010	408508	2498	-	16.4	1	MT0353
MT0359(not expressed)	414441	415001	560	-	NOT EXPRESSED		
MT0356-MT0357.1	409416	414298	4882	+	40.5	3	MT0356, MT0357, MT0357.1
MT0360	415104	415520	416	+	25.7	1	MT0360
MT0362-MT0364	417364	419668	2304	+	51.0	3	MT0362, MT0363, MT0364
MT0361	415562	417025	1463	-	97.4	1	MT0361
MT0369(not expressed)	424306	424863	557	-	NOT EXPRESSED		
MT0365-MT0368	419895	424079	4184	+	78.6	4	MT0365, MT0366, MT0367, MT0368
MT0370(not expressed)	424940	434767	9827	-	NOT EXPRESSED		
MT0374(not expressed)	436948	437595	647	+	NOT EXPRESSED		
MT0372-MT0373	434918	436857	1939	-	37.9	2	MT0372, MT0373
MT0375(not expressed)	437747	438385	638	+	NOT EXPRESSED		
MT0377	438910	439737	827	+	39.7	1	MT0377
MT0378(not expressed)	439959	441341	1382	+	NOT EXPRESSED		
MT0376	438390	438803	413	-	44.6	1	MT0376
MT0379	441353	442387	1034	-	202.3	1	MT0379
MT0381	443155	444285	1130	-	22.6	1	MT0381
MT0382(not expressed)	444310	444903	593	-	NOT EXPRESSED		
MT0380	442483	443166	683	+	50.5	1	MT0380
MT0383(not expressed)	444914	445342	428	+	NOT EXPRESSED		
MT0384(not expressed)	445402	446613	1211	-	NOT EXPRESSED		
MT0384.1	446619	447221	602	-	10.9	1	MT0384.1
MT0385(not expressed)	447235	448131	896	-	NOT EXPRESSED		
MT0386(not expressed)	448128	448721	593	-	NOT EXPRESSED		
MT0387(not expressed)	448718	449473	755	-	NOT EXPRESSED		
MT0388(not expressed)	449492	451891	2399	-	NOT EXPRESSED		
MT0389(not expressed)	451888	452367	479	-	NOT EXPRESSED		
MT0390(not expressed)	452382	453284	902	-	NOT EXPRESSED		
MT0392(not expressed)	455648	456226	578	-	NOT EXPRESSED		
MT0391	454510	455475	965	+	30.5	1	MT0391
MT0393(not expressed)	456357	456908	551	-	NOT EXPRESSED		
MT0398(not expressed)	462119	463396	1277	+	NOT EXPRESSED		
MT0394-MT0397	457004	462091	5087	-	65.3	4	MT0394, MT0395, MT0396, MT0397
MT0400(not expressed)	466761	468092	1331	-	NOT EXPRESSED		
MT0399	463479	466757	3278	+	25.4	1	MT0399
MT0401-MT0402	468426	471321	2895	+	22.1	3	MT0401, MT0401.1, MT0402
MT0404(not expressed)	472872	474197	1325	+	NOT EXPRESSED		
MT0403	471318	472730	1412	-	19.6	1	MT0403
MT0405(not expressed)	475031	475435	404	+	NOT EXPRESSED		
MT0404.1	474213	474932	719	-	65.6	1	MT0404.1
MT0406(not expressed)	475417	475833	416	+	NOT EXPRESSED		
MT0407(not expressed)	475874	476344	470	-	NOT EXPRESSED		
MT0407.1	476485	476733	248	+	145.4	1	MT0407.1
MT0411(not expressed)	479880	480251	371	+	NOT EXPRESSED		
MT0408-MT0410	476770	479847	3077	-	34.7	3	MT0408, MT0409, MT0410
MT0412(not expressed)	480446	483322	2876	-	NOT EXPRESSED		
MT0413(not expressed)	483432	484316	884	-	NOT EXPRESSED		
MT0414-MT0415	484367	485105	738	-	9.0	2	MT0414, MT0415
MT0416(not expressed)	485313	485426	113	-	NOT EXPRESSED		
MT0417-MT0418	485426	491388	5962	+	15.5	2	MT0417, MT0418
MT0419	491336	492094	758	-	14.8	1	MT0419
MT0420-MT0422	492232	496457	4225	+	19.4	3	MT0420, MT0421, MT0422
MT0423-MT0425	496511	501068	4557	-	74.1	3	MT0423, MT0424, MT0425
MT0427(not expressed)	501799	502467	668	-	NOT EXPRESSED		
MT0426	501162	501815	653	+	23.9	1	MT0426
MT0428	502597	503619	1022	+	16.0	1	MT0428
MT0429(not expressed)	503616	503822	206	+	NOT EXPRESSED		
MT0430	503815	504573	758	+	10.4	1	MT0430
MT0431(not expressed)	504595	504747	152	+	NOT EXPRESSED		
MT0434-MT0442	508010	518341	10331	-	60.0	8	MT0434, MT0435, MT0436, MT0437, MT0438, MT0440, MT0441, MT0442
MT0432-MT0433	504966	508031	3065	+	49.3	2	MT0432, MT0433
MT0443-MT0444	518344	519845	1501	-	19.7	2	MT0443, MT0444
MT0450(not expressed)	523622	523732	110	-	NOT EXPRESSED		
MT0451-MT0453	523796	527531	3735	-	14.6	3	MT0451, MT0452, MT0453
MT0445-MT0449	519978	523616	3638	+	38.8	5	MT0445, MT0446, MT0447, MT0448, MT0449
MT0454-MT0455	527592	529844	2252	-	30.9	2	MT0454, MT0455
MT0457	531745	532173	428	-	47.4	1	MT0457
MT0456	530057	531679	1622	+	320.1	1	MT0456
MT0458	532200	533663	1463	-	13.5	1	MT0458
MT0460-MT0463	534540	538121	3581	-	15.4	4	MT0460, MT0461, MT0462, MT0463
MT0464(not expressed)	537953	538684	731	-	NOT EXPRESSED		
MT0459	533803	534360	557	+	356.0	1	MT0459
MT0465(not expressed)	538678	539997	1319	-	NOT EXPRESSED		
MT0468(not expressed)	543540	544301	761	+	NOT EXPRESSED		
MT0466-MT0467	540037	543359	3322	-	26.8	2	MT0466, MT0467
MT0469(not expressed)	544623	546179	1556	+	NOT EXPRESSED		
MT0470-MT0471	546185	547351	1166	-	217.0	2	MT0470, MT0471
MT0472(not expressed)	547338	548252	914	-	NOT EXPRESSED		
MT0472.1(not expressed)	548472	548942	470	+	NOT EXPRESSED		
MT0474-MT0475	551124	553138	2014	+	24.7	2	MT0474, MT0475
MT0473	549035	551056	2021	-	12.8	1	MT0473
MT0476-MT0479	553159	555758	2599	+	178.6	4	MT0476, MT0477, MT0478, MT0479
MT0482	557907	558701	794	+	52.7	1	MT0482
MT0483	558976	560262	1286	+	12.3	1	MT0483
MT0480-MT0481	555762	557755	1993	-	38.8	2	MT0480, MT0481
MT0484	560344	561204	860	+	14.2	1	MT0484
MT0486-MT0489	562296	564941	2645	-	59.0	4	MT0486, MT0487, MT0488, MT0489
MT0492(not expressed)	566930	567067	137	-	NOT EXPRESSED		
MT0494(not expressed)	567857	568009	152	-	NOT EXPRESSED		
MT0490-MT0496	565156	569344	4188	+	93.4	5	MT0490, MT0491, MT0493, MT0495, MT0496
MT0497-MT0499	569369	571960	2591	-	30.4	3	MT0497, MT0498, MT0499
MT0500-MT0501	571987	574513	2526	+	76.8	2	MT0500, MT0501
MT0503-MT0506	575432	579003	3571	+	31.5	4	MT0503, MT0504, MT0505, MT0506
MT0507(not expressed)	579054	579659	605	+	NOT EXPRESSED		
MT0508	579816	580565	749	+	112.3	1	MT0508
MT0502	574494	575249	755	-	35.1	1	MT0502
MT0511	582856	584298	1442	-	10.6	1	MT0511
MT0512(not expressed)	584234	584911	677	-	NOT EXPRESSED		
MT0509-MT0510	580739	582859	2120	+	256.0	2	MT0509, MT0510
MT0513(not expressed)	585069	586058	989	-	NOT EXPRESSED		
MT0514(not expressed)	586063	586791	728	+	NOT EXPRESSED		
MT0516-MT0519	587714	591426	3712	+	41.0	4	MT0516, MT0517, MT0518, MT0519
MT0520	591451	592338	887	+	16.5	1	MT0520
MT0515	586792	587682	890	-	187.6	1	MT0515
MT0521-MT0523	592479	595235	2756	+	182.8	3	MT0521, MT0522, MT0523
MT0525(not expressed)	596107	596703	596	+	NOT EXPRESSED		
MT0524-MT0526	595239	597757	2518	-	55.2	2	MT0524, MT0526
MT0527-MT0536	598132	609429	11297	+	69.0	10	MT0527, MT0528, MT0529, MT0530, MT0531, MT0532, MT0533, MT0534, MT0535, MT0536
MT0537	609426	609905	479	-	401.1	1	MT0537
MT0538-MT0539	610191	612250	2059	+	29.6	2	MT0538, MT0539
MT0542(not expressed)	613622	613972	350	+	NOT EXPRESSED		
MT0540-MT0541	612302	613441	1139	-	87.9	2	MT0540, MT0541
MT0543(not expressed)	613965	614270	305	+	NOT EXPRESSED		
MT0544	614405	615709	1304	+	25.3	1	MT0544
MT0545	615693	616097	404	-	18.7	1	MT0545
MT0546-MT0555	616202	624167	7965	+	23.4	9	MT0546, MT0547, MT0548, MT0549, MT0550, MT0551, MT0552, MT0554, MT0555
MT0556(not expressed)	624160	626028	1868	+	NOT EXPRESSED		
MT0553	623488	623649	161	-	191.8	1	MT0553
MT0557	625924	626931	1007	-	37.9	1	MT0557
MT0558(not expressed)	627013	627891	878	-	NOT EXPRESSED		
MT0559(not expressed)	627926	628702	776	+	NOT EXPRESSED		
MT0560(not expressed)	628699	629739	1040	+	NOT EXPRESSED		
MT0563-MT0564	631491	633826	2335	+	11.8	2	MT0563, MT0564
MT0565(not expressed)	633850	634485	635	+	NOT EXPRESSED		
MT0568(not expressed)	636909	637436	527	+	NOT EXPRESSED		
MT0576(not expressed)	642340	642495	155	+	NOT EXPRESSED		
MT0562-MT0575	629749	642356	12607	-	27.9	11	MT0562, MT0566, MT0567, MT0569, MT0570, MT0571, MT0572, MT0573, MT0573.1, MT0574, MT0575
MT0578	644227	645945	1718	+	14.3	1	MT0578
MT0579(not expressed)	645942	646922	980	+	NOT EXPRESSED		
MT0577	642548	644263	1715	-	13.7	1	MT0577
MT0585-MT0586	651859	652956	1097	-	99.0	2	MT0585, MT0586
MT0580-MT0584	646919	651845	4926	+	164.4	5	MT0580, MT0581, MT0582, MT0583, MT0584
MT0587	652981	654207	1226	-	15.2	1	MT0587
MT0588-MT0589	654223	656191	1968	+	96.1	2	MT0588, MT0589
MT0593-MT0595	659770	662721	2951	+	36.0	3	MT0593, MT0594, MT0595
MT0596(not expressed)	662618	664825	2207	+	NOT EXPRESSED		
MT0590-MT0592	656376	659491	3115	-	45.4	3	MT0590, MT0591, MT0592
MT0597(not expressed)	664938	666293	1355	-	NOT EXPRESSED		
MT0598-MT0599	666374	666834	460	-	17.3	2	MT0598, MT0599
MT0600(not expressed)	666885	667052	167	-	NOT EXPRESSED		
MT0601(not expressed)	667302	668693	1391	-	NOT EXPRESSED		
MT0602(not expressed)	668703	669845	1142	-	NOT EXPRESSED		
MT0603(not expressed)	669938	670042	104	+	NOT EXPRESSED		
MT0604	670030	671196	1166	-	35.1	1	MT0604
MT0605-MT0606	671290	673402	2112	+	112.7	2	MT0605, MT0606
MT0607	673447	677367	3920	-	19.5	1	MT0607
MT0609	678576	679154	578	-	102.2	1	MT0609
MT0610(not expressed)	679178	679804	626	-	NOT EXPRESSED		
MT0608-MT0608.1	677282	678447	1165	+	29.4	2	MT0608, MT0608.1
MT0612(not expressed)	680680	683313	2633	+	NOT EXPRESSED		
MT0611	679840	680526	686	-	11.9	1	MT0611
MT0613(not expressed)	683336	684904	1568	-	NOT EXPRESSED		
MT0614(not expressed)	685182	685790	608	+	NOT EXPRESSED		
MT0615-MT0620	685859	690511	4652	+	11.9	6	MT0615, MT0616, MT0617, MT0618, MT0619, MT0620
MT0621(not expressed)	690496	691818	1322	+	NOT EXPRESSED		
MT0622(not expressed)	691949	693475	1526	+	NOT EXPRESSED		
MT0623(not expressed)	693472	694680	1208	+	NOT EXPRESSED		
MT0625-MT0626	696287	696933	646	-	6.7	2	MT0625, MT0626
MT0627-MT0629	697116	699275	2159	-	77.6	3	MT0627, MT0628, MT0629
MT0630(not expressed)	699352	700485	1133	-	NOT EXPRESSED		
MT0624	694616	696235	1619	+	11.6	1	MT0624
MT0631(not expressed)	700486	701229	743	-	NOT EXPRESSED		
MT0632(not expressed)	701687	702637	950	+	NOT EXPRESSED		
MT0633-MT0638.1	702854	705503	2649	+	55.1	6	MT0633, MT0635, MT0636, MT0637, MT0638, MT0638.1
MT0639(not expressed)	705870	706205	335	+	NOT EXPRESSED		
MT0640(not expressed)	706198	707355	1157	-	NOT EXPRESSED		
MT0642(not expressed)	707770	708375	605	+	NOT EXPRESSED		
MT0641	707407	707790	383	-	157.7	1	MT0641
MT0644(not expressed)	710901	711794	893	+	NOT EXPRESSED		
MT0643	708394	710961	2567	-	64.9	1	MT0643
MT0645.1(not expressed)	712030	712263	233	-	NOT EXPRESSED		
MT0645	711773	712033	260	+	68.6	1	MT0645
MT0645.2-MT0646	712228	712853	625	+	66.6	2	MT0645.2, MT0646
MT0648(not expressed)	714162	715253	1091	+	NOT EXPRESSED		
MT0649	715648	716712	1064	+	25.5	1	MT0649
MT0650(not expressed)	716672	717763	1091	+	NOT EXPRESSED		
MT0651-MT0652	717856	718505	649	+	51.0	2	MT0651, MT0652
MT0653	718599	719435	836	-	21.2	1	MT0653
MT0655(not expressed)	719653	720147	494	-	NOT EXPRESSED		
MT0656	720207	721358	1151	-	42.7	1	MT0656
MT0657(not expressed)	721451	723136	1685	-	NOT EXPRESSED		
MT0654	719471	719731	260	+	97.7	1	MT0654
MT0658(not expressed)	723175	726459	3284	-	NOT EXPRESSED		
MT0659(not expressed)	726459	729752	3293	-	NOT EXPRESSED		
MT0662.1	732558	732809	251	+	458.0	1	MT0662.1
MT0660-MT0662	730028	732478	2450	-	143.8	3	MT0660, MT0661, MT0662
MT0663-MT0669.1	733157	737669	4512	+	449.6	8	MT0663, MT0664, MT0665, MT0666, MT0667, MT0668, MT0669, MT0669.1
MT0676(not expressed)	744143	748339	4196	+	NOT EXPRESSED		
MT0670-MT0675	737738	744057	6319	-	22.0	6	MT0670, MT0671, MT0672, MT0673, MT0674, MT0675
MT0677(not expressed)	748264	749010	746	+	NOT EXPRESSED		
MT0679(not expressed)	749010	749918	908	+	NOT EXPRESSED		
MT0682(not expressed)	751207	751980	773	-	NOT EXPRESSED		
