Strain,Gene,No_of_mutations
TKK-01-0003.annotated.vcf,RVBD_1765c,1032
TKK-01-0003.annotated.vcf,RVBD_1043c,1026
TKK-01-0003.annotated.vcf,RVBD_3382c,990
TKK-01-0003.annotated.vcf,RVBD_3018c,974
TKK-01-0003.annotated.vcf,RVBD_0823c,953
TKK-01-0003.annotated.vcf,RVBD_0094c,911
TKK-01-0003.annotated.vcf,RVBD_1764,885
TKK-01-0003.annotated.vcf,RVBD_1756c,885
TKK-01-0003.annotated.vcf,RVBD_3475,885
TKK-01-0003.annotated.vcf,RVBD_2479c,885
TKK-01-0003.annotated.vcf,RVBD_3187,885
TKK-01-0003.annotated.vcf,RVBD_2814c,885
TKK-01-0003.annotated.vcf,RVBD_3326,885
TKK-01-0003.annotated.vcf,RVBD_3380c,885
TKK-01-0003.annotated.vcf,RVBD_0796,885
TKK-01-0003.annotated.vcf,RVBD_2106,885
TKK-01-0003.annotated.vcf,RVBD_1369c,885
TKK-01-0004.annotated.vcf,RVBD_3514,960
TKK-01-0004.annotated.vcf,RVBD_3475,885
TKK-01-0004.annotated.vcf,RVBD_3508,449
TKK-01-0004.annotated.vcf,RVBD_3474,327
TKK-01-0004.annotated.vcf,RVBD_3343c,187
TKK-01-0004.annotated.vcf,RVBD_0355c,130
TKK-01-0004.annotated.vcf,RVBD_2048c,110
TKK-01-0004.annotated.vcf,RVBD_3426,66
TKK-01-0004.annotated.vcf,RVBD_1087,58
TKK-01-0004.annotated.vcf,RVBD_1450c,56
TKK-01-0004.annotated.vcf,RVBD_1441c,34
TKK-01-0004.annotated.vcf,RVBD_1758,25
TKK-01-0004.annotated.vcf,RVBD_3512,23
TKK-01-0004.annotated.vcf,RVBD_0278c,19
TKK-01-0004.annotated.vcf,RVBD_3345c,17
TKK-01-0004.annotated.vcf,RVBD_2931,14
TKK-01-0004.annotated.vcf,RVBD_2490c,13
TKK-01-0004.annotated.vcf,RVBD_2101,13
TKK-01-0004.annotated.vcf,RVBD_0532,12
TKK-01-0004.annotated.vcf,RVBD_3919c,11
TKK-01-0004.annotated.vcf,RVBD_1588c,8
TKK-01-0004.annotated.vcf,RVBD_1844c,7
TKK-01-0004.annotated.vcf,RVBD_1067c,7
TKK-01-0004.annotated.vcf,RVBD_3466,7
TKK-01-0004.annotated.vcf,RVBD_0980c,6
TKK-01-0004.annotated.vcf,RVBD_3347c,5
TKK-01-0004.annotated.vcf,RVBD_3558,5
TKK-01-0004.annotated.vcf,RVBD_0095c,5
TKK-01-0004.annotated.vcf,RVBD_0006,5
TKK-01-0004.annotated.vcf,RVBD_3619c,4
TKK-01-0005.annotated.vcf,RVBD_3514,1663
TKK-01-0005.annotated.vcf,RVBD_3508,682
TKK-01-0005.annotated.vcf,RVBD_1452c,586
TKK-01-0005.annotated.vcf,RVBD_1450c,518
TKK-01-0005.annotated.vcf,RVBD_3511,478
TKK-01-0005.annotated.vcf,RVBD_0797,307
TKK-01-0005.annotated.vcf,RVBD_1730c,221
TKK-01-0005.annotated.vcf,RVBD_0747,166
TKK-01-0005.annotated.vcf,RVBD_1135c,130
TKK-01-0005.annotated.vcf,RVBD_0095c,127
TKK-01-0005.annotated.vcf,RVBD_0978c,116
TKK-01-0005.annotated.vcf,RVBD_1753c,107
TKK-01-0005.annotated.vcf,RVBD_3512,103
TKK-01-0005.annotated.vcf,RVBD_3345c,99
TKK-01-0005.annotated.vcf,RVBD_1587c,86
TKK-01-0005.annotated.vcf,RVBD_0355c,81
TKK-01-0005.annotated.vcf,RVBD_1068c,81
TKK-01-0005.annotated.vcf,RVBD_3507,70
TKK-01-0005.annotated.vcf,RVBD_0833,56
TKK-01-0005.annotated.vcf,RVBD_2543,48
TKK-01-0005.annotated.vcf,RVBD_2544,39
TKK-01-0005.annotated.vcf,RVBD_1243c,39
TKK-01-0005.annotated.vcf,RVBD_1087,37
TKK-01-0005.annotated.vcf,RVBD_3344c,36
TKK-01-0005.annotated.vcf,RVBD_2741,34
TKK-01-0005.annotated.vcf,RVBD_1651c,31
TKK-01-0005.annotated.vcf,RVBD_1325c,27
TKK-01-0005.annotated.vcf,RVBD_3428c,22
TKK-01-0005.annotated.vcf,RVBD_0746,22
TKK-01-0005.annotated.vcf,RVBD_3785,21
TKK-01-0006.annotated.vcf,RVBD_3343c,1049
TKK-01-0006.annotated.vcf,RVBD_1753c,1022
TKK-01-0006.annotated.vcf,RVBD_3327,1011
TKK-01-0006.annotated.vcf,RVBD_1764,885
TKK-01-0006.annotated.vcf,RVBD_2814c,885
TKK-01-0006.annotated.vcf,RVBD_1756c,885
TKK-01-0006.annotated.vcf,RVBD_2479c,885
TKK-01-0006.annotated.vcf,RVBD_3326,885
TKK-01-0006.annotated.vcf,RVBD_0796,885
TKK-01-0006.annotated.vcf,RVBD_3475,885
TKK-01-0006.annotated.vcf,RVBD_2106,885
TKK-01-0006.annotated.vcf,RVBD_1369c,885
TKK-01-0006.annotated.vcf,RVBD_3187,885
TKK-01-0006.annotated.vcf,RVBD_3380c,885
TKK-01-0006.annotated.vcf,RVBD_3185,885
TKK-01-0006.annotated.vcf,RVBD_2167c,885
TKK-01-0006.annotated.vcf,RVBD_2649,885
TKK-01-0006.annotated.vcf,RVBD_2279,884
TKK-01-0006.annotated.vcf,RVBD_2355,882
TKK-01-0006.annotated.vcf,RVBD_3514,775
TKK-01-0006.annotated.vcf,RVBD_1917c,620
TKK-01-0006.annotated.vcf,RVBD_0980c,524
TKK-01-0006.annotated.vcf,RVBD_0978c,409
TKK-01-0006.annotated.vcf,RVBD_2177c,403
TKK-01-0006.annotated.vcf,RVBD_3750c,393
TKK-01-0006.annotated.vcf,RVBD_3748,360
TKK-01-0006.annotated.vcf,RVBD_2354,327
TKK-01-0006.annotated.vcf,RVBD_2278,327
TKK-01-0006.annotated.vcf,RVBD_3474,327
TKK-01-0006.annotated.vcf,RVBD_3325,327
TKK-01-0007.annotated.vcf,RVBD_3508,1114
TKK-01-0007.annotated.vcf,RVBD_1764,885
TKK-01-0007.annotated.vcf,RVBD_1756c,885
TKK-01-0007.annotated.vcf,RVBD_0796,885
TKK-01-0007.annotated.vcf,RVBD_1369c,885
TKK-01-0007.annotated.vcf,RVBD_2649,885
TKK-01-0007.annotated.vcf,RVBD_3185,885
TKK-01-0007.annotated.vcf,RVBD_2167c,885
TKK-01-0007.annotated.vcf,RVBD_3514,811
TKK-01-0007.annotated.vcf,RVBD_3511,442
TKK-01-0007.annotated.vcf,RVBD_1757c,327
TKK-01-0007.annotated.vcf,RVBD_1370c,327
TKK-01-0007.annotated.vcf,RVBD_0795,327
TKK-01-0007.annotated.vcf,RVBD_2168c,327
TKK-01-0007.annotated.vcf,RVBD_3184,327
TKK-01-0007.annotated.vcf,RVBD_2648,327
TKK-01-0007.annotated.vcf,RVBD_1763,322
TKK-01-0007.annotated.vcf,RVBD_0797,271
TKK-01-0007.annotated.vcf,RVBD_2048c,207
TKK-01-0007.annotated.vcf,RVBD_1765c,170
TKK-01-0007.annotated.vcf,RVBD_3281,137
TKK-01-0007.annotated.vcf,RVBD_1917c,133
TKK-01-0007.annotated.vcf,RVBD_0978c,131
TKK-01-0007.annotated.vcf,RVBD_1753c,106
TKK-01-0007.annotated.vcf,RVBD_3424c,106
TKK-01-0007.annotated.vcf,RVBD_0304c,64
TKK-01-0007.annotated.vcf,RVBD_3343c,60
TKK-01-0007.annotated.vcf,RVBD_2859c,54
TKK-01-0007.annotated.vcf,RVBD_3512,46
TKK-01-0007.annotated.vcf,RVBD_1450c,45
TKK-01-0008.annotated.vcf,RVBD_3514,1682
TKK-01-0008.annotated.vcf,RVBD_1765c,1049
TKK-01-0008.annotated.vcf,RVBD_1753c,1047
TKK-01-0008.annotated.vcf,RVBD_0094c,916
TKK-01-0008.annotated.vcf,RVBD_1764,885
TKK-01-0008.annotated.vcf,RVBD_3475,885
TKK-01-0008.annotated.vcf,RVBD_1756c,885
TKK-01-0008.annotated.vcf,RVBD_2479c,885
TKK-01-0008.annotated.vcf,RVBD_2814c,885
TKK-01-0008.annotated.vcf,RVBD_3326,885
TKK-01-0008.annotated.vcf,RVBD_3380c,885
TKK-01-0008.annotated.vcf,RVBD_0796,885
TKK-01-0008.annotated.vcf,RVBD_2106,885
TKK-01-0008.annotated.vcf,RVBD_1369c,885
TKK-01-0008.annotated.vcf,RVBD_2355,885
TKK-01-0008.annotated.vcf,RVBD_3187,885
TKK-01-0008.annotated.vcf,RVBD_2167c,885
TKK-01-0008.annotated.vcf,RVBD_2279,885
TKK-01-0008.annotated.vcf,RVBD_2649,885
TKK-01-0008.annotated.vcf,RVBD_1450c,797
TKK-01-0008.annotated.vcf,RVBD_3508,775
TKK-01-0008.annotated.vcf,RVBD_1371,611
TKK-01-0008.annotated.vcf,RVBD_1452c,585
TKK-01-0008.annotated.vcf,RVBD_3511,477
TKK-01-0008.annotated.vcf,RVBD_2544,360
TKK-01-0008.annotated.vcf,RVBD_2278,327
TKK-01-0008.annotated.vcf,RVBD_3325,327
TKK-01-0008.annotated.vcf,RVBD_1757c,327
TKK-01-0008.annotated.vcf,RVBD_2105,327
TKK-01-0008.annotated.vcf,RVBD_3381c,327
TKK-01-0009.annotated.vcf,RVBD_3343c,3441
TKK-01-0009.annotated.vcf,RVBD_3508,1485
TKK-01-0009.annotated.vcf,RVBD_1917c,1465
TKK-01-0009.annotated.vcf,RVBD_1760,1348
TKK-01-0009.annotated.vcf,RVBD_1765c,1029
TKK-01-0009.annotated.vcf,RVBD_1753c,984
TKK-01-0009.annotated.vcf,RVBD_0796,885
TKK-01-0009.annotated.vcf,RVBD_3475,885
TKK-01-0009.annotated.vcf,RVBD_2355,885
TKK-01-0009.annotated.vcf,RVBD_3380c,885
TKK-01-0009.annotated.vcf,RVBD_2167c,885
TKK-01-0009.annotated.vcf,RVBD_2649,885
TKK-01-0009.annotated.vcf,RVBD_2106,884
TKK-01-0009.annotated.vcf,RVBD_1764,880
TKK-01-0009.annotated.vcf,RVBD_2479c,877
TKK-01-0009.annotated.vcf,RVBD_1041c,618
TKK-01-0009.annotated.vcf,RVBD_0797,603
TKK-01-0009.annotated.vcf,RVBD_0354c,552
TKK-01-0009.annotated.vcf,RVBD_0355c,538
TKK-01-0009.annotated.vcf,RVBD_1790,534
TKK-01-0009.annotated.vcf,RVBD_3514,476
TKK-01-0009.annotated.vcf,RVBD_1787,409
TKK-01-0009.annotated.vcf,RVBD_2048c,390
TKK-01-0009.annotated.vcf,RVBD_1588c,346
TKK-01-0009.annotated.vcf,RVBD_1762c,332
TKK-01-0009.annotated.vcf,RVBD_2354,327
TKK-01-0009.annotated.vcf,RVBD_3018c,327
TKK-01-0009.annotated.vcf,RVBD_3474,327
TKK-01-0009.annotated.vcf,RVBD_2105,327
TKK-01-0009.annotated.vcf,RVBD_1763,327
TKK-01-0010.annotated.vcf,RVBD_3508,1155
TKK-01-0010.annotated.vcf,RVBD_3514,568
TKK-01-0010.annotated.vcf,RVBD_3511,442
TKK-01-0010.annotated.vcf,RVBD_0797,320
TKK-01-0010.annotated.vcf,RVBD_1787,255
TKK-01-0010.annotated.vcf,RVBD_1753c,199
TKK-01-0010.annotated.vcf,RVBD_2048c,197
TKK-01-0010.annotated.vcf,RVBD_1765c,148
TKK-01-0010.annotated.vcf,RVBD_0978c,129
TKK-01-0010.annotated.vcf,RVBD_3343c,86
TKK-01-0010.annotated.vcf,RVBD_0304c,62
TKK-01-0010.annotated.vcf,RVBD_1450c,61
TKK-01-0010.annotated.vcf,RVBD_2859c,57
TKK-01-0010.annotated.vcf,RVBD_3512,47
TKK-01-0010.annotated.vcf,RVBD_1945,26
TKK-01-0010.annotated.vcf,RVBD_1758,25
TKK-01-0010.annotated.vcf,RVBD_0278c,19
TKK-01-0010.annotated.vcf,RVBD_1452c,14
TKK-01-0010.annotated.vcf,RVBD_2931,14
TKK-01-0010.annotated.vcf,RVBD_3425,11
TKK-01-0010.annotated.vcf,RVBD_0834c,9
TKK-01-0010.annotated.vcf,RVBD_0980c,9
TKK-01-0010.annotated.vcf,RVBD_1588c,9
TKK-01-0010.annotated.vcf,RVBD_1844c,7
TKK-01-0010.annotated.vcf,RVBD_1336,6
TKK-01-0010.annotated.vcf,RVBD_3347c,5
TKK-01-0010.annotated.vcf,RVBD_2098c,4
TKK-01-0010.annotated.vcf,RVBD_3619c,4
TKK-01-0010.annotated.vcf,RVBD_3558,4
TKK-01-0010.annotated.vcf,RVBD_1148c,4
TKK-01-0011.annotated.vcf,RVBD_3508,744
TKK-01-0011.annotated.vcf,RVBD_3514,711
TKK-01-0011.annotated.vcf,RVBD_0797,283
TKK-01-0011.annotated.vcf,RVBD_0355c,131
TKK-01-0011.annotated.vcf,RVBD_1753c,103
TKK-01-0011.annotated.vcf,RVBD_1587c,84
TKK-01-0011.annotated.vcf,RVBD_0305c,68
TKK-01-0011.annotated.vcf,RVBD_3590c,41
TKK-01-0011.annotated.vcf,RVBD_1087,40
TKK-01-0011.annotated.vcf,RVBD_0095c,31
TKK-01-0011.annotated.vcf,RVBD_1441c,30
TKK-01-0011.annotated.vcf,RVBD_0425c,22
TKK-01-0011.annotated.vcf,RVBD_1028c,20
TKK-01-0011.annotated.vcf,RVBD_0278c,19
TKK-01-0011.annotated.vcf,RVBD_3345c,18
TKK-01-0011.annotated.vcf,RVBD_1450c,16
TKK-01-0011.annotated.vcf,RVBD_2931,14
TKK-01-0011.annotated.vcf,RVBD_3512,11
TKK-01-0011.annotated.vcf,RVBD_3343c,9
TKK-01-0011.annotated.vcf,RVBD_1997,8
TKK-01-0011.annotated.vcf,RVBD_1452c,8
TKK-01-0011.annotated.vcf,RVBD_0740,8
TKK-01-0011.annotated.vcf,RVBD_1844c,7
TKK-01-0011.annotated.vcf,RVBD_2048c,6
TKK-01-0011.annotated.vcf,RVBD_3018c,6
TKK-01-0011.annotated.vcf,RVBD_1034c,5
TKK-01-0011.annotated.vcf,RVBD_0878c,4
TKK-01-0011.annotated.vcf,RVBD_3558,4
TKK-01-0011.annotated.vcf,RVBD_3429,4
TKK-01-0011.annotated.vcf,RVBD_3894c,4
TKK-01-0012.annotated.vcf,RVBD_1917c,2046
TKK-01-0012.annotated.vcf,RVBD_0355c,2006
TKK-01-0012.annotated.vcf,RVBD_3343c,1094
TKK-01-0012.annotated.vcf,RVBD_2017,1037
TKK-01-0012.annotated.vcf,RVBD_1753c,1026
TKK-01-0012.annotated.vcf,RVBD_3327,972
TKK-01-0012.annotated.vcf,RVBD_1764,885
TKK-01-0012.annotated.vcf,RVBD_2814c,885
TKK-01-0012.annotated.vcf,RVBD_1756c,885
TKK-01-0012.annotated.vcf,RVBD_2479c,885
TKK-01-0012.annotated.vcf,RVBD_3326,885
TKK-01-0012.annotated.vcf,RVBD_2279,885
TKK-01-0012.annotated.vcf,RVBD_0796,885
TKK-01-0012.annotated.vcf,RVBD_3475,885
TKK-01-0012.annotated.vcf,RVBD_2106,885
TKK-01-0012.annotated.vcf,RVBD_1369c,885
TKK-01-0012.annotated.vcf,RVBD_2355,885
TKK-01-0012.annotated.vcf,RVBD_3380c,885
TKK-01-0012.annotated.vcf,RVBD_2167c,885
TKK-01-0012.annotated.vcf,RVBD_2649,885
TKK-01-0012.annotated.vcf,RVBD_2108,732
TKK-01-0012.annotated.vcf,RVBD_2018,720
TKK-01-0012.annotated.vcf,RVBD_3514,698
TKK-01-0012.annotated.vcf,RVBD_3508,689
TKK-01-0012.annotated.vcf,RVBD_1765c,599
TKK-01-0012.annotated.vcf,RVBD_2016,576
TKK-01-0012.annotated.vcf,RVBD_2544,566
TKK-01-0012.annotated.vcf,RVBD_0354c,552
TKK-01-0012.annotated.vcf,RVBD_2015c,452
TKK-01-0012.annotated.vcf,RVBD_1910c,436
TKK-01-0013.annotated.vcf,RVBD_0355c,6349
TKK-01-0013.annotated.vcf,RVBD_3343c,5732
TKK-01-0013.annotated.vcf,RVBD_0304c,4014
TKK-01-0013.annotated.vcf,RVBD_1917c,2488
TKK-01-0013.annotated.vcf,RVBD_2823c,2123
TKK-01-0013.annotated.vcf,RVBD_3514,1469
TKK-01-0013.annotated.vcf,RVBD_3021c,1308
TKK-01-0013.annotated.vcf,RVBD_1288,1175
TKK-01-0013.annotated.vcf,RVBD_1753c,1052
TKK-01-0013.annotated.vcf,RVBD_1765c,1049
TKK-01-0013.annotated.vcf,RVBD_1043c,1026
TKK-01-0013.annotated.vcf,RVBD_2807,968
TKK-01-0013.annotated.vcf,RVBD_1764,885
TKK-01-0013.annotated.vcf,RVBD_1756c,885
TKK-01-0013.annotated.vcf,RVBD_3475,885
TKK-01-0013.annotated.vcf,RVBD_2479c,885
TKK-01-0013.annotated.vcf,RVBD_2814c,885
TKK-01-0013.annotated.vcf,RVBD_3380c,885
TKK-01-0013.annotated.vcf,RVBD_0796,885
TKK-01-0013.annotated.vcf,RVBD_2106,885
TKK-01-0013.annotated.vcf,RVBD_1369c,885
TKK-01-0013.annotated.vcf,RVBD_2355,885
TKK-01-0013.annotated.vcf,RVBD_3187,885
TKK-01-0013.annotated.vcf,RVBD_3185,885
TKK-01-0013.annotated.vcf,RVBD_2167c,885
TKK-01-0013.annotated.vcf,RVBD_2279,885
TKK-01-0013.annotated.vcf,RVBD_3326,885
TKK-01-0013.annotated.vcf,RVBD_2649,885
TKK-01-0013.annotated.vcf,RVBD_1450c,801
TKK-01-0013.annotated.vcf,RVBD_2108,732
TKK-01-0014.annotated.vcf,RVBD_0355c,7889
TKK-01-0014.annotated.vcf,RVBD_3508,1810
TKK-01-0014.annotated.vcf,RVBD_1288,1175
TKK-01-0014.annotated.vcf,RVBD_1753c,1044
TKK-01-0014.annotated.vcf,RVBD_1764,885
TKK-01-0014.annotated.vcf,RVBD_3475,885
TKK-01-0014.annotated.vcf,RVBD_2814c,885
TKK-01-0014.annotated.vcf,RVBD_1756c,885
TKK-01-0014.annotated.vcf,RVBD_2479c,885
TKK-01-0014.annotated.vcf,RVBD_3326,885
TKK-01-0014.annotated.vcf,RVBD_0796,885
TKK-01-0014.annotated.vcf,RVBD_2106,885
TKK-01-0014.annotated.vcf,RVBD_1369c,885
TKK-01-0014.annotated.vcf,RVBD_3187,885
TKK-01-0014.annotated.vcf,RVBD_3380c,885
TKK-01-0014.annotated.vcf,RVBD_3185,885
TKK-01-0014.annotated.vcf,RVBD_2167c,885
TKK-01-0014.annotated.vcf,RVBD_2279,885
TKK-01-0014.annotated.vcf,RVBD_2649,885
TKK-01-0014.annotated.vcf,RVBD_2355,884
TKK-01-0014.annotated.vcf,RVBD_1755c,822
TKK-01-0014.annotated.vcf,RVBD_3021c,800
TKK-01-0014.annotated.vcf,RVBD_1917c,727
TKK-01-0014.annotated.vcf,RVBD_0980c,659
TKK-01-0014.annotated.vcf,RVBD_3343c,648
TKK-01-0014.annotated.vcf,RVBD_1289,633
TKK-01-0014.annotated.vcf,RVBD_0978c,558
TKK-01-0014.annotated.vcf,RVBD_0354c,552
TKK-01-0014.annotated.vcf,RVBD_3514,498
TKK-01-0014.annotated.vcf,RVBD_1910c,436
TKK-01-0015.annotated.vcf,RVBD_0355c,2710
TKK-01-0015.annotated.vcf,RVBD_3343c,2266
TKK-01-0015.annotated.vcf,RVBD_3428c,1233
TKK-01-0015.annotated.vcf,RVBD_1753c,1077
TKK-01-0015.annotated.vcf,RVBD_1765c,1036
TKK-01-0015.annotated.vcf,RVBD_3508,983
TKK-01-0015.annotated.vcf,RVBD_3185,885
TKK-01-0015.annotated.vcf,RVBD_3187,885
TKK-01-0015.annotated.vcf,RVBD_1756c,885
TKK-01-0015.annotated.vcf,RVBD_2479c,885
TKK-01-0015.annotated.vcf,RVBD_3326,885
TKK-01-0015.annotated.vcf,RVBD_3380c,885
TKK-01-0015.annotated.vcf,RVBD_3475,885
TKK-01-0015.annotated.vcf,RVBD_2167c,885
TKK-01-0015.annotated.vcf,RVBD_2649,885
TKK-01-0015.annotated.vcf,RVBD_2106,885
TKK-01-0015.annotated.vcf,RVBD_2355,885
TKK-01-0015.annotated.vcf,RVBD_1369c,885
TKK-01-0015.annotated.vcf,RVBD_2279,884
TKK-01-0015.annotated.vcf,RVBD_1041c,864
TKK-01-0015.annotated.vcf,RVBD_3021c,825
TKK-01-0015.annotated.vcf,RVBD_3514,779
TKK-01-0015.annotated.vcf,RVBD_3427c,756
TKK-01-0015.annotated.vcf,RVBD_0394c,720
TKK-01-0015.annotated.vcf,RVBD_3382c,696
TKK-01-0015.annotated.vcf,RVBD_1917c,666
TKK-01-0015.annotated.vcf,RVBD_1587c,628
TKK-01-0015.annotated.vcf,RVBD_3327,623
TKK-01-0015.annotated.vcf,RVBD_0797,623
TKK-01-0015.annotated.vcf,RVBD_1588c,583
TKK-01-0016.annotated.vcf,RVBD_3508,1720
TKK-01-0016.annotated.vcf,RVBD_3514,1153
TKK-01-0016.annotated.vcf,RVBD_1765c,1024
TKK-01-0016.annotated.vcf,RVBD_1917c,930
TKK-01-0016.annotated.vcf,RVBD_1764,885
TKK-01-0016.annotated.vcf,RVBD_1756c,885
TKK-01-0016.annotated.vcf,RVBD_2479c,885
TKK-01-0016.annotated.vcf,RVBD_3326,885
TKK-01-0016.annotated.vcf,RVBD_2279,885
TKK-01-0016.annotated.vcf,RVBD_0796,885
TKK-01-0016.annotated.vcf,RVBD_3475,885
TKK-01-0016.annotated.vcf,RVBD_2106,885
TKK-01-0016.annotated.vcf,RVBD_1369c,885
TKK-01-0016.annotated.vcf,RVBD_2355,885
TKK-01-0016.annotated.vcf,RVBD_3187,885
TKK-01-0016.annotated.vcf,RVBD_2649,885
TKK-01-0016.annotated.vcf,RVBD_3380c,885
TKK-01-0016.annotated.vcf,RVBD_3185,885
TKK-01-0016.annotated.vcf,RVBD_2167c,885
TKK-01-0016.annotated.vcf,RVBD_3343c,590
TKK-01-0016.annotated.vcf,RVBD_3018c,567
TKK-01-0016.annotated.vcf,RVBD_0978c,549
TKK-01-0016.annotated.vcf,RVBD_0980c,462
TKK-01-0016.annotated.vcf,RVBD_2480c,327
TKK-01-0016.annotated.vcf,RVBD_2278,327
TKK-01-0016.annotated.vcf,RVBD_1757c,327
TKK-01-0016.annotated.vcf,RVBD_2105,327
TKK-01-0016.annotated.vcf,RVBD_3186,327
TKK-01-0016.annotated.vcf,RVBD_1370c,327
TKK-01-0016.annotated.vcf,RVBD_0795,327
TKK-01-0017.annotated.vcf,RVBD_0355c,7886
TKK-01-0017.annotated.vcf,RVBD_3343c,5030
TKK-01-0017.annotated.vcf,RVBD_0304c,3998
TKK-01-0017.annotated.vcf,RVBD_0305c,2101
TKK-01-0017.annotated.vcf,RVBD_1917c,2041
TKK-01-0017.annotated.vcf,RVBD_2356c,1310
TKK-01-0017.annotated.vcf,RVBD_1753c,1025
TKK-01-0017.annotated.vcf,RVBD_3327,1022
TKK-01-0017.annotated.vcf,RVBD_1764,885
TKK-01-0017.annotated.vcf,RVBD_2814c,885
TKK-01-0017.annotated.vcf,RVBD_1756c,885
TKK-01-0017.annotated.vcf,RVBD_2479c,885
TKK-01-0017.annotated.vcf,RVBD_3326,885
TKK-01-0017.annotated.vcf,RVBD_0796,885
TKK-01-0017.annotated.vcf,RVBD_3475,885
TKK-01-0017.annotated.vcf,RVBD_2106,885
TKK-01-0017.annotated.vcf,RVBD_1369c,885
TKK-01-0017.annotated.vcf,RVBD_2355,885
TKK-01-0017.annotated.vcf,RVBD_2279,885
TKK-01-0017.annotated.vcf,RVBD_3187,885
TKK-01-0017.annotated.vcf,RVBD_2649,885
TKK-01-0017.annotated.vcf,RVBD_3380c,885
TKK-01-0017.annotated.vcf,RVBD_3185,885
TKK-01-0017.annotated.vcf,RVBD_2167c,885
